RA,Fase,Turma,Nome,Ano_Nascimento,Idade,Genero,Ano_Ingresso,Instituicao_Ensino,Ano_Referencia,Pedra_20,Pedra_21,Pedra_22,INDE_22,Num_Av,Avaliador1,Avaliador2,Avaliador3,IAA,IEG,IPS,IDA,Mat,Por,Ing,Atingiu_PV,IPV,IAN,Fase_Ideal,Defasagem,Pedra_23,Pedra_23_1,IPP,Pedra_24,Pedra
RA-1,Fase 7,A,Aluno-1,2003,19,F,2016,Publica,2022,Ametista,Ametista,Quartzo,5.783,4.0,Avaliador-5,Avaliador-27,Avaliador-28,8.3,4.1,5.6,4.0,2.7,3.5,6.0,Não,7.278,5.0,Fase 8,-1,,,,,
RA-2,Fase 7,A,Aluno-2,2005,17,F,2017,Privada,2022,Ametista,Ametista,Ametista,7.055,4.0,Avaliador-5,Avaliador-27,Avaliador-28,8.8,5.2,6.3,6.8,6.3,4.5,9.7,Não,6.778,10.0,Fase 7,0,,,,,
RA-3,Fase 7,A,Aluno-3,2005,17,F,2016,Privada,2022,Ametista,Ametista,Agata,6.591,4.0,Avaliador-5,Avaliador-27,Avaliador-28,0.0,7.9,5.6,5.6,5.8,4.0,6.9,Não,7.556,10.0,Fase 7,0,,,,,
RA-4,Fase 7,A,Aluno-4,2005,17,M,2017,Privada,2022,Ametista,Ametista,Quartzo,5.951,4.0,Avaliador-5,Avaliador-27,Avaliador-28,8.8,4.5,5.6,5.0,2.8,3.5,8.7,Não,5.278,10.0,Fase 7,0,,,,,
RA-5,Fase 7,A,Aluno-5,2005,17,F,2016,Privada,2022,Ametista,Ametista,Ametista,7.427,4.0,Avaliador-5,Avaliador-27,Avaliador-28,7.9,8.6,5.6,5.2,7.0,2.9,5.7,Não,7.389,10.0,Fase 7,0,,,,,
RA-6,Fase 7,A,Aluno-6,2004,18,F,2021,Publica,2022,,Agata,Quartzo,5.848,4.0,Avaliador-5,Avaliador-27,Avaliador-28,7.9,4.5,7.5,3.3,2.3,5.3,2.3,Não,7.222,5.0,Fase 8,-1,,,,,
RA-7,Fase 7,A,Aluno-7,2004,18,M,2017,Privada,2022,Ametista,Ametista,Agata,6.818,4.0,Avaliador-5,Avaliador-27,Avaliador-28,0.0,8.4,7.5,7.6,8.2,5.7,9.0,Não,7.667,5.0,Fase 8,-1,,,,,
RA-8,Fase 7,A,Aluno-8,2002,20,F,2018,Publica,2022,Quartzo,Agata,Quartzo,4.786,4.0,Avaliador-5,Avaliador-27,Avaliador-28,7.1,4.6,6.3,1.6,1.2,0.7,2.9,Não,6.278,5.0,Fase 8,-1,,,,,
RA-9,Fase 7,A,Aluno-9,2004,18,F,2019,Publica,2022,Ametista,Ametista,Topazio,8.109,4.0,Avaliador-5,Avaliador-27,Avaliador-28,8.8,9.5,7.5,6.7,5.5,6.0,8.7,Sim,9.5,5.0,Fase 8,-1,,,,,
RA-10,Fase 7,A,Aluno-10,2004,18,F,2021,Publica,2022,,Agata,Quartzo,5.784,4.0,Avaliador-5,Avaliador-27,Avaliador-28,8.3,5.2,5.0,4.1,3.3,2.6,6.4,Não,7.056,5.0,Fase 8,-1,,,,,
RA-11,Fase 7,A,Aluno-11,2004,18,F,2016,Publica,2022,Quartzo,Agata,Quartzo,5.323,4.0,Avaliador-5,Avaliador-27,Avaliador-28,9.2,4.2,5.0,3.0,1.8,2.5,4.5,Não,6.389,5.0,Fase 8,-1,,,,,
RA-12,Fase 7,A,Aluno-12,2005,17,F,2020,Publica,2022,Agata,Agata,Quartzo,4.832,4.0,Avaliador-5,Avaliador-27,Avaliador-28,0.0,4.0,6.9,1.5,2.7,1.1,0.7,Não,6.389,10.0,Fase 7,0,,,,,
RA-13,Fase 7,A,Aluno-13,2004,18,M,2016,Publica,2022,Ametista,Ametista,Agata,6.902,4.0,Avaliador-5,Avaliador-27,Avaliador-28,7.9,7.4,7.5,4.7,3.5,5.5,5.2,Não,8.056,5.0,Fase 8,-1,,,,,
RA-14,Fase 7,D,Aluno-14,2001,21,M,2022,Publica,2022,,,Agata,6.793,4.0,Avaliador-6,Avaliador-27,Avaliador-29,7.9,8.3,7.5,4.0,8.0,0.0,,Não,7.75,5.0,Fase 8,-1,,,,,
RA-15,Fase 7,D,Aluno-15,2004,18,M,2022,Publica,2022,,,Ametista,7.783,4.0,Avaliador-6,Avaliador-27,Avaliador-29,8.8,10.0,7.5,7.3,8.0,6.5,,Não,7.292,5.0,Fase 8,-1,,,,,
RA-16,Fase 7,D,Aluno-16,2003,19,M,2022,Publica,2022,,,Agata,6.112,4.0,Avaliador-6,Avaliador-27,Avaliador-29,7.9,8.3,5.0,3.5,7.0,0.0,,Não,6.333,5.0,Fase 8,-1,,,,,
RA-17,Fase 7,D,Aluno-17,2002,20,M,2022,Publica,2022,,,Topazio,8.068,4.0,Avaliador-6,Avaliador-27,Avaliador-29,8.8,10.0,7.5,7.8,9.0,6.5,,Não,8.292,5.0,Fase 8,-1,,,,,
RA-18,Fase 7,D,Aluno-18,2003,19,M,2022,Publica,2022,,,Ametista,7.226,4.0,Avaliador-6,Avaliador-27,Avaliador-29,6.3,8.7,6.3,9.0,9.0,9.0,,Não,6.875,5.0,Fase 8,-1,,,,,
RA-19,Fase 7,D,Aluno-19,2003,19,F,2022,Publica,2022,,,Ametista,7.665,4.0,Avaliador-6,Avaliador-27,Avaliador-29,7.9,9.5,7.5,8.0,7.0,9.0,,Não,7.0,5.0,Fase 8,-1,,,,,
RA-20,Fase 7,D,Aluno-20,2003,19,F,2022,Publica,2022,,,Ametista,7.535,4.0,Avaliador-6,Avaliador-27,Avaliador-29,7.1,10.0,6.3,7.8,9.0,6.5,,Não,7.167,5.0,Fase 8,-1,,,,,
RA-21,Fase 7,D,Aluno-21,2004,18,M,2022,Publica,2022,,,Agata,6.945,4.0,Avaliador-6,Avaliador-27,Avaliador-29,9.6,9.2,7.5,3.8,7.0,0.5,,Não,7.25,5.0,Fase 8,-1,,,,,
RA-22,Fase 6,A,Aluno-22,2005,17,F,2019,Privada,2022,Ametista,Agata,Ametista,7.474,4.0,Avaliador-5,Avaliador-27,Avaliador-28,8.3,7.4,8.1,6.7,9.0,3.1,7.8,Sim,8.833,5.0,Fase 7,-1,,,,,
RA-23,Fase 6,A,Aluno-23,2005,17,M,2021,Publica,2022,,Ametista,Ametista,7.677,4.0,Avaliador-5,Avaliador-27,Avaliador-28,8.3,8.2,8.1,6.7,7.2,4.7,8.2,Sim,8.556,5.0,Fase 7,-1,,,,,
RA-24,Fase 6,A,Aluno-24,2005,17,F,2021,Privada,2022,,Topazio,Topazio,8.087,4.0,Avaliador-5,Avaliador-27,Avaliador-28,9.2,7.9,6.9,8.6,10.0,6.3,9.7,Sim,9.111,5.0,Fase 7,-1,,,,,
RA-25,Fase 6,A,Aluno-25,2005,17,F,2021,Publica,2022,,Topazio,Ametista,7.979,4.0,Avaliador-5,Avaliador-27,Avaliador-28,8.3,8.3,8.8,6.9,9.2,3.8,7.7,Sim,9.667,5.0,Fase 7,-1,,,,,
RA-26,Fase 6,A,Aluno-26,2005,17,M,2022,Publica,2022,,,Topazio,8.677,4.0,Avaliador-5,Avaliador-27,Avaliador-28,9.6,8.8,10.0,8.0,9.5,4.4,10.0,Sim,10.0,5.0,Fase 7,-1,,,,,
RA-27,Fase 6,A,Aluno-27,2005,17,M,2016,Privada,2022,Topazio,Ametista,Ametista,7.124,4.0,Avaliador-5,Avaliador-27,Avaliador-28,0.0,7.6,8.1,8.0,7.7,6.3,10.0,Sim,9.111,5.0,Fase 7,-1,,,,,
RA-28,Fase 6,A,Aluno-28,2005,17,F,2019,Publica,2022,Ametista,Ametista,Agata,6.242,4.0,Avaliador-5,Avaliador-27,Avaliador-28,7.9,6.1,7.5,5.0,8.2,1.5,5.3,Não,6.333,5.0,Fase 7,-1,,,,,
